Candidate,House/Senate,State,District,Party,Status,ElectionYear,Gender,GenderVar,PercentWomen,Check Column,PartyVar
"GRIFFITH, PARKER REP.",H,AL,5,REP,OPEN,2008,male,0,2.857142857,republican,0
"GRIMAUD, JOSEPH A JR",H,SC,3,REP,OPEN,2010,male,0,7.258064516,republican,0
"GRIMES, DAVID G",H,AL,2,REP,OPEN,2008,male,0,2.857142857,republican,0
"GRIST, RONNIE",H,GA,7,REP,OPEN,2010,male,0,6.111111111,republican,0
"GROOMS, LAWRENCE K",H,SC,1,REP,OPEN,2014,male,0,8.064516129,republican,0
"GROTHMAN, GLENN S",H,WI,6,REP,OPEN,2014,male,0,8.080808081,republican,0
"GRUNWALD, JOHN ",H,TX,27,REP,OPEN,2012,male,0,12.66666667,republican,0
"GUILLORY, BISHOP LEROY JOSEPH L J",H,CA,37,REP,OPEN,2008,male,0,7.5,republican,0
"GUILLORY, ELBERT",H,LA,4,REP,OPEN,2016,male,0,7.619047619,republican,0
"GURFEIN, DAVID MR.",H,NY,4,REP,OPEN,2016,male,0,3.333333333,republican,0
"GUSS, CHARMAINE",H,NV,1,REP,OPEN,2012,female,1,2.380952381,republican,0
"GUSTAFSON, CLAIRE H",H,NJ,1,REP,OPEN,2014,female,1,12.5,republican,0
"GUTHRIE, STEVEN BRETT",H,KY,2,REP,OPEN,2008,male,0,3,republican,0
"HACK, HELMUTH",H,AZ,8,REP,OPEN,2012,male,0,20,republican,0
"HALL, BARRY",H,AZ,1,REP,OPEN,2008,male,0,13.33333333,republican,0
"HALL, ROBERT",H,IN,9,REP,OPEN,2016,male,0,10,republican,0
"HALL, TAMMARA A",H,FL,14,REP,OPEN,2012,female,1,12.5,republican,0
"HALLIWELL, MIKE",H,CA,2,REP,OPEN,2012,male,0,7.5,republican,0
"HAMANN, PAUL",H,IL,10,REP,OPEN,2010,male,0,10.16949153,republican,0
"HANSEN, THOMAS N",H,AZ,1,REP,OPEN,2008,male,0,13.33333333,republican,0
"HANSON, TOM",H,IL,5,REP,OPEN,2010,male,0,10.16949153,republican,0
"HANTSCH, JOSEPH J",H,IL,8,REP,OPEN,2016,male,0,8.474576271,republican,0
"HARDIMAN, CLYDE PRESTON (WILLIAM)",H,MI,3,REP,OPEN,2010,male,0,5.454545455,republican,0
"HARING, PAUL B",H,VA,8,REP,OPEN,2014,male,0,5,republican,0
"HARING, PAUL B.",H,TX,34,REP,OPEN,2012,male,0,12.66666667,republican,0
"HARKINS, DANIEL C",H,OH,7,REP,OPEN,2008,male,0,6.060606061,republican,0
"HARPER, GEORGE",H,TX,14,REP,OPEN,2012,male,0,12.66666667,republican,0
"HARPER, GREGG",H,MS,3,REP,OPEN,2008,male,0,3.278688525,republican,0
"HARRIS, ALICE SUSAN",H,NC,11,REP,OPEN,2012,female,1,10.83333333,republican,0
"HARRIS, FELICIA",H,TX,14,REP,OPEN,2012,female,1,12.66666667,republican,0
"HARRISON, STEPHEN JOHN",H,WV,2,REP,OPEN,2014,male,0,10,republican,0
"HARTMAN, WINK",H,KS,4,REP,OPEN,2010,male,0,12,republican,0
"HARVEY, TED",H,CO,6,REP,OPEN,2008,male,0,7.692307692,republican,0
"HASS, JAMES THOMAS",H,IN,4,REP,OPEN,2010,male,0,7,republican,0
"HATCHER, GREGORY WILLIAM",H,MS,3,REP,OPEN,2008,male,0,3.278688525,republican,0
"HATFIELD, P KELLY",H,NJ,7,REP,OPEN,2008,female,1,10,republican,0
"HATTER, JOHN",H,IN,6,REP,OPEN,2012,male,0,10,republican,0
"HAWES, LEIGH M",H,ME,2,REP,OPEN,2014,female,1,8.609271523,republican,0
"HAWES, PAUL",H,TX,14,REP,OPEN,2012,male,0,12.66666667,republican,0
"HAY, SYDNEY",H,AZ,1,REP,OPEN,2008,female,1,13.33333333,republican,0
"HAYDEN, ROBERT E",H,MA,10,REP,OPEN,2010,male,0,1.875,republican,0
"HEACOCK, STEVEN R",H,MI,3,REP,OPEN,2010,male,0,5.454545455,republican,0
"HEANEY, ANDREW",H,NY,19,REP,OPEN,2016,male,0,3.333333333,republican,0
"HEDRICK, DAVID WILLIAM",H,WA,3,REP,OPEN,2010,male,0,8.163265306,republican,0
"HEENAN, TERRY",H,IL,11,REP,OPEN,2008,male,0,10.16949153,republican,0
"HENDERSON, CHARLES E",H,IN,4,REP,OPEN,2010,male,0,7,republican,0
"HENDERSON, RYAN",H,NV,2,REP,OPEN,2012,male,0,2.380952381,republican,0
"HENDRICKSON, CAROL FLORRIE",H,AL,7,REP,OPEN,2010,female,1,2.857142857,republican,0
"HERNANDEZ, TERESA",H,CA,32,REP,OPEN,2010,female,1,5,republican,0
"HERRERA, JAIME",H,WA,3,REP,OPEN,2010,male,0,8.163265306,republican,0
"HERSHMAN, BRANDT",H,IN,4,REP,OPEN,2010,male,0,7,republican,0
"HICE, JODY",H,GA,10,REP,OPEN,2014,female,1,8.888888889,republican,0
"HICE, JODY B MR",H,GA,7,REP,OPEN,2010,female,1,6.111111111,republican,0
"HILL, JAMES FRENCH",H,AR,2,REP,OPEN,2014,male,0,10,republican,0
"HILL, KIRAN",H,NV,4,REP,OPEN,2012,male,0,2.380952381,republican,0
"HILL, MAURICE B JR",H,NJ,3,REP,OPEN,2014,male,0,12.5,republican,0
"HOLDING, GEORGE E. B. MR.",H,NC,13,REP,OPEN,2012,male,0,10.83333333,republican,0
"HOLLAND, MICHAEL S.",H,WY,0,REP,OPEN,2008,male,0,15,republican,0
"HOLLENBAUGH, MARK",H,OH,5,REP,OPEN,2008,male,0,6.060606061,republican,0
"HOLLIDAY, ED",H,MS,1,REP,OPEN,2016,male,0,4.098360656,republican,0
"HOLLINGSHEAD, STEPHEN",H,VA,10,REP,OPEN,2014,male,0,5,republican,0
"HOLLINGSWORTH, TREY",H,IN,9,REP,OPEN,2016,male,0,10,republican,0
"HOLMES, JOHN MICHAEL",H,CA,4,REP,OPEN,2008,male,0,7.5,republican,0
"HOLT, DELECIA ANN",H,CA,53,REP,OPEN,2008,female,1,7.5,republican,0
"HOLZMEYER, KRIS ALAN",H,TN,3,REP,OPEN,2010,female,1,5.050505051,republican,0
"HOOD, RONALD EDWARD",H,OH,7,REP,OPEN,2008,male,0,6.060606061,republican,0
"HOOPER, DON",H,MI,1,REP,OPEN,2010,male,0,5.454545455,republican,0
"HORN, JENNIFER",H,NH,2,REP,OPEN,2010,female,1,10.5,republican,0
"HOUCHIN, ERIN",H,IN,9,REP,OPEN,2016,female,1,10,republican,0
"HOWARD-HILL, JEAN",H,TN,3,REP,OPEN,2010,female,1,5.050505051,republican,0
"HOWARD, HARVEY",H,TN,3,REP,OPEN,2010,male,0,5.050505051,republican,0
"HOWE, JOHN STERLING",H,MN,2,REP,OPEN,2016,male,0,13.43283582,republican,0
"HOWELL, KEVIN SGT",H,IN,3,REP,OPEN,2016,male,0,10,republican,0
"HUDSON, GREG",H,NV,2,REP,OPEN,2012,male,0,2.380952381,republican,0
"HUELSKAMP, TIMOTHY A",H,KS,1,REP,OPEN,2010,male,0,12,republican,0
"HUFF, MARK",H,AL,5,REP,OPEN,2008,male,0,2.857142857,republican,0
"HUIZENGA, WILLIAM P",H,MI,2,REP,OPEN,2010,male,0,5.454545455,republican,0
"HULL, LEANN",H,AZ,3,REP,OPEN,2010,female,1,15,republican,0
"HUNT, JEFFREY PAUL",H,NC,11,REP,OPEN,2012,male,0,10.83333333,republican,0
"HUNT, STEPHEN MICHAEL",H,VA,11,REP,OPEN,2008,male,0,5,republican,0
"HUNTER, DUNCAN D.",H,CA,52,REP,OPEN,2008,male,0,7.5,republican,0
"IMUS, GREGG",H,CA,8,REP,OPEN,2012,male,0,7.5,republican,0
"IRION, VAN RENCELLIERE",H,TN,3,REP,OPEN,2010,male,0,5.050505051,republican,0
"ISOLA, CHRIS",H,NJ,3,REP,OPEN,2014,male,0,12.5,republican,0
"IZZO, ROSE",H,DE,0,REP,OPEN,2010,female,1,7.317073171,republican,0
"IZZO, ROSE",H,DE,0,REP,OPEN,2016,female,1,4.87804878,republican,0
"JANES, DONN",H,TN,8,REP,OPEN,2010,male,0,5.050505051,republican,0
"JARVIS, B STEFAN",H,GA,,REP,OPEN,2014,male,0,8.888888889,republican,0
"JENERETTE, KATHERINE",H,SC,1,REP,OPEN,2010,female,1,7.258064516,republican,0
"JENKINS, LOUIS (WOODY)",H,LA,6,REP,OPEN,2008,male,0,3.80952381,republican,0
"JENKINS, OLIVER LTCOL",H,LA,4,REP,OPEN,2016,male,0,7.619047619,republican,0
"JENNERJAHN, PHIL",H,CA,33,REP,OPEN,2010,male,0,5,republican,0
"JETT, SHANE DAVID",H,OK,5,REP,OPEN,2010,male,0,8.910891089,republican,0
"JETT, SHANE DAVID",H,OK,5,REP,OPEN,2014,male,0,10.89108911,republican,0
"JOHN, RICHARD MICHAEL MR.",H,LA,4,REP,OPEN,2016,male,0,7.619047619,republican,0
"JOHNSON, HARRY CLAUD",H,OK,5,REP,OPEN,2010,male,0,8.910891089,republican,0
"JOHNSON, JAMES MICHAEL",H,LA,4,REP,OPEN,2016,male,0,7.619047619,republican,0
"JOHNSON, JENNIFER ",H,UT,4,REP,OPEN,2014,female,1,5.333333333,republican,0
"JOHNSON, LOUISE E",H,MI,3,REP,OPEN,2010,female,1,5.454545455,republican,0
"JOHNSON, ROBERT EUGENE MD",H,GA,1,REP,OPEN,2014,male,0,8.888888889,republican,0
"JOHNSON, ROBERT TAYLOR",H,NC,13,REP,OPEN,2012,male,0,10.83333333,republican,0
"JOLLEY, JOSEPH CLARK",H,OK,5,REP,OPEN,2014,male,0,10.89108911,republican,0
"JONES, BRIAN W",H,CA,52,REP,OPEN,2008,male,0,7.5,republican,0
"JONES, CATESBY BAYTOP",H,VA,1,REP,OPEN,2008,male,0,5,republican,0
"JONES, JEFFREY W",H,MD,8,REP,OPEN,2016,male,0,7.80141844,republican,0
"JONES, JEREMY EDWARD",H,GA,9,REP,OPEN,2010,male,0,6.111111111,republican,0
"JONES, ROGER STARNER DR.",H,MS,1,REP,OPEN,2016,male,0,4.098360656,republican,0
"JONES, SUZANNE VERONICA",H,CA,4,REP,OPEN,2008,female,1,7.5,republican,0
"JORDAN, NICHOLAS M",H,KS,3,REP,OPEN,2010,male,0,12,republican,0
"JOST, PAUL CHARLES",H,VA,1,REP,OPEN,2008,male,0,5,republican,0
"JOTTE, RANDALL (RANDY) STEPHEN",H,MO,2,REP,OPEN,2012,male,0,11.04294479,republican,0
"JUSICK, JAMES ANTHONY",H,FL,6,REP,OPEN,2016,male,0,12.5,republican,0
"KALEMKARIAN, TIMOTHY CHARLES",H,CA,26,REP,OPEN,2012,male,0,7.5,republican,0
"KALK, BRIAN",H,ND,0,REP,OPEN,2012,male,0,12.76595745,republican,0
"KANALEY, JOHN M",H,CA,37,REP,OPEN,2008,male,0,7.5,republican,0
"KASPEROWICZ, RAYMOND",H,MA,10,REP,OPEN,2010,male,0,1.875,republican,0
"KASPRZAK, PATRICIA",H,TX,36,REP,OPEN,2014,female,1,10,republican,0
"KAVANAGH, CAROLYN ROSE",H,MI,11,REP,OPEN,2012,female,1,10,republican,0
"KAY, DANIEL S (KARKUSIEWICZ)",H,IL,5,REP,OPEN,2010,male,0,10.16949153,republican,0
"KEITH, LARON",H,IN,4,REP,OPEN,2010,male,0,7,republican,0
"KELEMEN, BRIAN C",H,NJ,10,REP,OPEN,2012,male,0,11.25,republican,0
"KELLY, JOHN",H,NJ,3,REP,OPEN,2008,male,0,10,republican,0
"KELSEY, BRIAN",H,TN,8,REP,OPEN,2016,male,0,9.090909091,republican,0
"KELSEY, RICHARD FRANKLIN",H,KS,4,REP,OPEN,2010,male,0,12,republican,0
"KEMEA, RICHARD LEE II",H,TN,3,REP,OPEN,2010,male,0,5.050505051,republican,0
"KERNEA, RICK",H,TN,3,REP,OPEN,2010,male,0,5.050505051,republican,0
"KEY, JOHN C.",H,TX,19,REP,OPEN,2016,male,0,8.666666667,republican,0
"KHAL, SAMI",H,NV,3,REP,OPEN,2016,female,1,16.66666667,republican,0
"KICINSKI, MICHAEL J SR",H,NY,22,REP,OPEN,2012,male,0,4.666666667,republican,0
"KIEHNE, GARY",H,AZ,1,REP,OPEN,2016,male,0,13.33333333,republican,0
"KILLIAN, RICHARD DANIEL",H,NC,9,REP,OPEN,2012,male,0,10.83333333,republican,0
"KILPATRICK, ROBERT DONALD",H,CA,33,REP,OPEN,2014,male,0,8.75,republican,0
"KING, DAVID THEODORE",H,KS,3,REP,OPEN,2010,male,0,12,republican,0
"KING, JEFF",H,SC,1,REP,OPEN,2014,male,0,8.064516129,republican,0
"KING, KENNETH W JR",H,CA,52,REP,OPEN,2008,male,0,7.5,republican,0
"KING, STEVE",H,MI,11,REP,OPEN,2012,male,0,10,republican,0
"KING, TERRI",H,OH,8,REP,OPEN,2016,female,1,13.13131313,republican,0
"KIRBY, LESTER THOMAS",H,GA,7,REP,OPEN,2010,male,0,6.111111111,republican,0
"KIRKLAND, RONALD",H,TN,8,REP,OPEN,2010,male,0,5.050505051,republican,0
"KIRKMEYER, BARBARA",H,CO,4,REP,OPEN,2014,female,1,15.38461538,republican,0
"KLOTZ, GARRY R",H,KS,3,REP,OPEN,2010,male,0,12,republican,0
"KNIGHT, STEVE",H,CA,25,REP,OPEN,2014,male,0,8.75,republican,0
"KOBROVSKY, LAWRENCE C",H,SC,1,REP,OPEN,2010,male,0,7.258064516,republican,0
"KOHN, JAMES R 'JIM BOB'",H,NV,2,REP,OPEN,2012,male,0,2.380952381,republican,0
"KOKKONEN, MATT",H,CA,24,REP,OPEN,2016,male,0,10,republican,0
"KONETCHY, PETER D",H,MI,4,REP,OPEN,2014,male,0,7.272727273,republican,0
"KONOPNICKI, BILL",H,AZ,1,REP,OPEN,2008,male,0,13.33333333,republican,0
"KONSMO, MICHAEL MR.",H,WY,0,REP,OPEN,2016,male,0,13.33333333,republican,0
"KOPF, KENNETH ALBERT",H,NC,6,REP,OPEN,2014,male,0,10.83333333,republican,0
"KOPPELMAN, KIM A",H,ND,0,REP,OPEN,2012,female,1,12.76595745,republican,0
"KORMOS, THERESA",H,IL,12,REP,OPEN,2012,female,1,9.322033898,republican,0
"KORN, PRESTON",H,AZ,1,REP,OPEN,2008,male,0,13.33333333,republican,0
"KOSTER, JOHN ",H,WA,1,REP,OPEN,2012,male,0,10.20408163,republican,0
"KOWALL, MICHAEL W",H,MI,11,REP,OPEN,2012,male,0,10,republican,0
"KOZELL, RICK",H,FL,18,REP,OPEN,2016,male,0,12.5,republican,0
"KREEGEL, PAIGE VANIER",H,FL,19,REP,OPEN,2012,female,1,12.5,republican,0
"KRINKIE, PHILIP B",H,MN,6,REP,OPEN,2014,male,0,12.68656716,republican,0
"KRUPA, JOHN T.",H,PA,5,REP,OPEN,2008,male,0,7.881773399,republican,0
"KUHN, JOHN",H,SC,1,REP,OPEN,2014,male,0,8.064516129,republican,0
"KUIPERS, WAYNE",H,MI,2,REP,OPEN,2010,male,0,5.454545455,republican,0
"KUSTOFF, DAVID",H,TN,8,REP,OPEN,2016,male,0,9.090909091,republican,0
"LAFFEY, STEPHEN PATRICK",H,CO,4,REP,OPEN,2014,male,0,15.38461538,republican,0
"LANCE, LEONARD",H,NJ,7,REP,OPEN,2008,male,0,10,republican,0
"LANDRUM, DAVID",H,MS,3,REP,OPEN,2008,male,0,3.278688525,republican,0
"LANDRY, JEFFREY M",H,LA,3,REP,OPEN,2010,male,0,3.80952381,republican,0
"LANE, CHARLOTTE R",H,WV,2,REP,OPEN,2014,female,1,10,republican,0
"LANKFORD, JAMES",H,OK,5,REP,OPEN,2010,male,0,8.910891089,republican,0
"LARKIN, TIMOTHY EDWARD",H,SC,1,REP,OPEN,2014,male,0,8.064516129,republican,0
"LARSON, CHRIS",H,MI,2,REP,OPEN,2010,male,0,5.454545455,republican,0
"LAUZEN, CHRIS",H,IL,14,REP,OPEN,2008,male,0,10.16949153,republican,0
"LEATHERWOOD, THOMAS F III",H,TN,8,REP,OPEN,2016,male,0,9.090909091,republican,0
"LEAVITT, JEFFREY (LINCOLN)",H,CA,37,REP,OPEN,2008,male,0,7.5,republican,0
"LEE, AL",H,TX,33,REP,OPEN,2012,male,0,12.66666667,republican,0
"LEE, CHAD",H,WI,2,REP,OPEN,2012,male,0,7.070707071,republican,0
"LEE, CHRISTOPHER J.",H,NY,26,REP,OPEN,2008,male,0,3.333333333,republican,0
"LEE, JIMMY D",H,IL,11,REP,OPEN,2008,male,0,10.16949153,republican,0
"LEEDS, ROBERT X",H,NV,4,REP,OPEN,2012,male,0,2.380952381,republican,0
"LEHOULLIER, KEVIN",H,FL,15,REP,OPEN,2008,male,0,9.166666667,republican,0
"LEIBHAM, JOE",H,WI,6,REP,OPEN,2014,male,0,8.080808081,republican,0
"LEONCZYK, KENNETH GEORGE JR",H,NC,9,REP,OPEN,2012,male,0,10.83333333,republican,0
"LEOPOLD, CHRIS",H,LA,3,REP,OPEN,2010,male,0,3.80952381,republican,0
"LEVENE, ALLAN",H,HI,1,REP,OPEN,2014,male,0,5.882352941,republican,0
"LEVENE, ALLAN",H,GA,1,REP,OPEN,2014,male,0,8.888888889,republican,0
"LEWIS, DAN",H,NM,1,REP,OPEN,2012,male,0,11.42857143,republican,0
"LEWIS, JASON MARK MR.",H,MN,2,REP,OPEN,2016,male,0,13.43283582,republican,0
"LIEBNITZKY, WAYNE",H,FL,9,REP,OPEN,2016,male,0,12.5,republican,0
"LIGGETT, HOMBRE MICHAEL",H,OH,7,REP,OPEN,2012,male,0,11.11111111,republican,0
"LIGHTNER, PATRICIA",H,KS,3,REP,OPEN,2010,female,1,12,republican,0
"LIMEHOUSE, HARRY (CHIP) III",H,SC,1,REP,OPEN,2014,male,0,8.064516129,republican,0
"LIND, HOWARD RHODES",H,VA,10,REP,OPEN,2014,male,0,5,republican,0
"LINDSEY, EDWARD H JR",H,GA,11,REP,OPEN,2014,male,0,8.888888889,republican,0
"LINDSEY, JOHN W JR",H,FL,12,REP,OPEN,2010,male,0,11.66666667,republican,0
"LIVINGSTONE, SANDRA B DR",H,AZ,1,REP,OPEN,2008,female,1,13.33333333,republican,0
"LONDON, DANIEL ERIC",H,KY,2,REP,OPEN,2008,male,0,3,republican,0
"LONEGAN, STEVEN",H,NJ,3,REP,OPEN,2014,male,0,12.5,republican,0
"LONG, BILLY",H,MO,7,REP,OPEN,2010,male,0,6.134969325,republican,0
"LOPEZ, BENJAMIN",H,CA,35,REP,OPEN,2014,male,0,8.75,republican,0
"LOPEZ, PETER D",H,NY,19,REP,OPEN,2016,male,0,3.333333333,republican,0
"LOUDERMILK, BARRY",H,GA,11,REP,OPEN,2014,male,0,8.888888889,republican,0
"LOUGHLIN, JOHN J II",H,RI,1,REP,OPEN,2010,male,0,0,republican,0
"LOVE, JAY K",H,AL,2,REP,OPEN,2008,male,0,2.857142857,republican,0
"LOVE, MIA",H,UT,4,REP,OPEN,2012,female,1,5.333333333,republican,0
"LOVE, MIA",H,UT,4,REP,OPEN,2014,female,1,5.333333333,republican,0
"LOWRY, STEVE MR.",H,AR,3,REP,OPEN,2010,male,0,9,republican,0
"LUCAS, LEE",H,NJ,1,REP,OPEN,2014,male,0,12.5,republican,0
"LUCIUS, CASEY",H,CA,20,REP,OPEN,2016,male,0,10,republican,0
"LUETKEMEYER, W. BLAINE",H,MO,9,REP,OPEN,2008,male,0,6.134969325,republican,0
"LUMMIS, CYNTHIA M",H,WY,0,REP,OPEN,2008,female,1,15,republican,0
"LUPINACCI, CHAD ANTHONY",H,NY,3,REP,OPEN,2016,male,0,3.333333333,republican,0
"LUTTRELL, MARK H JR",H,TN,8,REP,OPEN,2016,male,0,9.090909091,republican,0
"LUTZ, MARK STEVEN",H,SC,1,REP,OPEN,2010,male,0,7.258064516,republican,0
"LYNCH, EDWARD J ",H,FL,19,REP,OPEN,2010,male,0,11.66666667,republican,0
"LYNCH, RICHARD",H,NC,9,REP,OPEN,2012,male,0,10.83333333,republican,0
"MACARTHUR, THOMAS",H,NJ,3,REP,OPEN,2014,male,0,12.5,republican,0
"MACIARIELLO, PATRICK",H,CA,45,REP,OPEN,2014,male,0,8.75,republican,0
"MADDOX, KURT E",H,AR,3,REP,OPEN,2010,male,0,9,republican,0
"MAGAR, KRISTIAN LEE",H,LA,3,REP,OPEN,2010,female,1,3.80952381,republican,0
"MAHONEY, BILLY JOSEPH",H,IN,8,REP,OPEN,2010,male,0,7,republican,0
"MALDONADO, DAVID JOSEPH",H,TN,8,REP,OPEN,2016,male,0,9.090909091,republican,0
"MALONE, JERRY M",H,KS,3,REP,OPEN,2010,male,0,12,republican,0
"MALONE, JOSEPH DANIEL",H,MA,10,REP,OPEN,2010,male,0,1.875,republican,0
"MALONE, WILLIAM F JR",H,GA,7,REP,OPEN,2010,male,0,6.111111111,republican,0
"MALONEY, ERIC",H,PA,19,REP,OPEN,2012,male,0,9.359605911,republican,0
"MANCUSO, ANGELO DOC",H,AL,5,REP,OPEN,2008,male,0,2.857142857,republican,0
"MANLOVE, JOHN",H,TX,36,REP,OPEN,2014,male,0,10,republican,0
"MANN, GARY DEWITT",H,TN,6,REP,OPEN,2010,male,0,5.050505051,republican,0
"MANN, TRACEY ROBERT",H,KS,1,REP,OPEN,2010,female,1,12,republican,0
"MANNINO, LEONARD D JR",H,NH,2,REP,OPEN,2010,male,0,10.5,republican,0
"MANNIX, KEVIN LEESE",H,OR,5,REP,OPEN,2008,male,0,13.33333333,republican,0
"MANSIUS, MARK ANDERSON",H,TX,14,REP,OPEN,2012,male,0,12.66666667,republican,0
"MARCEAUX, BASIL",H,TN,3,REP,OPEN,2010,male,0,5.050505051,republican,0
"MARCY, WILLIAM (BILL)",H,MS,3,REP,OPEN,2008,male,0,3.278688525,republican,0
"MARKS, MARTIN L",H,NJ,7,REP,OPEN,2008,male,0,10,republican,0
"MARLOWE, HAYDEN",H,GA,3,REP,OPEN,2016,male,0,10,republican,0
"MARQUARDT, TERRY T",H,NM,2,REP,OPEN,2008,male,0,17.14285714,republican,0
"MARTIN, EARL THOMAS MD",H,GA,1,REP,OPEN,2014,male,0,8.888888889,republican,0
"MARTIN, JACK",H,FL,11,REP,OPEN,2016,male,0,12.5,republican,0
"MARTIN, JOHN",H,AL,2,REP,OPEN,2008,male,0,2.857142857,republican,0
"MARTINS, JACK",H,NY,3,REP,OPEN,2016,male,0,3.333333333,republican,0
"MASSEY, ANTHONY SHANE",H,SC,3,REP,OPEN,2010,male,0,7.258064516,republican,0
"MAST, BRIAN",H,FL,18,REP,OPEN,2016,male,0,12.5,republican,0
"MATAYO, DOUG",H,AR,3,REP,OPEN,2010,male,0,9,republican,0
"MATHENY, BRYAN ZACHARY",H,NC,6,REP,OPEN,2014,male,0,10.83333333,republican,0
"MATHIS, CHAD DR",H,AL,6,REP,OPEN,2014,male,0,5.714285714,republican,0
"MATORY, LIZ MS.",H,MD,8,REP,OPEN,2016,female,1,7.80141844,republican,0
"MATTHEWS, ANDREW",H,NV,3,REP,OPEN,2016,male,0,16.66666667,republican,0
"MATVEY, JOSEPH",H,OH,8,REP,OPEN,2016,male,0,13.13131313,republican,0
"MAUPIN JR, JARRETT BARTON",H,AZ,7,REP,OPEN,2014,male,0,13.33333333,republican,0
"MAY, DONALD ROBERT LEE",H,TX,19,REP,OPEN,2016,male,0,8.666666667,republican,0
"MCALLISTER, LEONARD FRANCIS JR",H,IL,2,REP,OPEN,2014,male,0,8.474576271,republican,0
"MCCALLUM, JOHN",H,GA,1,REP,OPEN,2014,male,0,8.888888889,republican,0
"MCCLINTOCK, THOMAS",H,CA,4,REP,OPEN,2008,male,0,7.5,republican,0
"MCCONOUGHEY, JIM",H,IL,18,REP,OPEN,2008,male,0,10.16949153,republican,0
"MCCOY, PETER MICHAEL JR",H,SC,1,REP,OPEN,2014,male,0,8.064516129,republican,0
"MCCRAY, JOSEPH SR",H,CA,6,REP,OPEN,2012,male,0,7.5,republican,0
"MCCULLOCH, CRAIG",H,LA,6,REP,OPEN,2014,male,0,4.761904762,republican,0
"MCCULLOUGH, GLENN L JR",H,MS,1,REP,OPEN,2008,male,0,3.278688525,republican,0
"MCDERMOTT, GEORGE E.",H,MD,4,REP,OPEN,2016,male,0,7.80141844,republican,0
"MCGOFF, JOHN P",H,IN,5,REP,OPEN,2012,male,0,10,republican,0
"MCINTOSH, DAVID MARTIN",H,IN,5,REP,OPEN,2012,male,0,10,republican,0
"MCKEE, RAY",H,AL,5,REP,OPEN,2008,male,0,2.857142857,republican,0
"MCKELVEY, JAMES K",H,VA,5,REP,OPEN,2016,male,0,4,republican,0
"MCKINLEY, PAUL",H,IL,2,REP,OPEN,2014,male,0,8.474576271,republican,0
"MCLELLAN , BRUCE",H,TN,6,REP,OPEN,2010,male,0,5.050505051,republican,0
"MCMANUS, GERARD",H,NJ,1,REP,OPEN,2014,male,0,12.5,republican,0
"MCMILLIN, THOMAS E",H,MI,8,REP,OPEN,2014,male,0,7.272727273,republican,0
"MCNULTY, TERRY J MR.",H,WI,8,REP,OPEN,2016,male,0,9.090909091,republican,0
"MCPHERSON, CRAIG",H,KS,3,REP,OPEN,2010,male,0,12,republican,0
"MCQUEEN, CLAY D",H,PA,13,REP,OPEN,2014,male,0,10.34482759,republican,0
"MEADOWS, MARK R",H,NC,11,REP,OPEN,2012,male,0,10.83333333,republican,0
"MEEHAN, PATRICK L",H,PA,7,REP,OPEN,2010,male,0,8.866995074,republican,0
"MEEKS, DAVID MARK EMERSON",H,AR,2,REP,OPEN,2010,male,0,9,republican,0
"MEER, EDWARD R",H,OH,8,REP,OPEN,2016,male,0,13.13131313,republican,0
"MEHAFFEY, SAMUEL DAVID",H,TX,19,REP,OPEN,2016,male,0,8.666666667,republican,0
"MELKUS, VINCENT",H,MT,0,REP,OPEN,2012,male,0,9,republican,0
"MESSER, ALLEN LUCAS",H,IN,6,REP,OPEN,2012,male,0,10,republican,0
"MEYER, CHARLES B",H,TX,36,REP,OPEN,2014,male,0,10,republican,0
"MIDBUST, KEVIN",H,WA,4,REP,OPEN,2014,male,0,9.183673469,republican,0
"MIELKE, DANIEL E MR.",H,WI,7,REP,OPEN,2010,male,0,6.060606061,republican,0
"MILLER, DANIEL",H,NV,2,REP,OPEN,2012,male,0,2.380952381,republican,0
"MILLER, DARLENE",H,MN,2,REP,OPEN,2016,female,1,13.43283582,republican,0
"MILLER, MATT",H,OH,16,REP,OPEN,2008,male,0,6.060606061,republican,0
"MILLS, JOHN JOHN",H,TN,8,REP,OPEN,2016,male,0,9.090909091,republican,0
"MILLS, MICHAEL P. JR",H,MS,1,REP,OPEN,2016,male,0,4.098360656,republican,0
"MITCHEL, JOHN R",H,OH,7,REP,OPEN,2008,male,0,6.060606061,republican,0
"MITCHELL, MONTE MARK",H,TX,33,REP,OPEN,2012,male,0,12.66666667,republican,0
"MITCHELL, PAUL III",H,MI,4,REP,OPEN,2014,male,0,7.272727273,republican,0
"MITCHELL, PAUL III",H,MI,10,REP,OPEN,2016,male,0,8.181818182,republican,0
"MIX, RICHARD",H,GA,3,REP,OPEN,2016,male,0,10,republican,0
"MOAK, STEVEN CARL",H,AZ,3,REP,OPEN,2010,male,0,15,republican,0
"MOFFLY, ELIZABETH",H,SC,1,REP,OPEN,2014,female,1,8.064516129,republican,0
"MOLL, THOMAS",H,AR,4,REP,OPEN,2014,male,0,10,republican,0
"MOLONEY, MICHAEL J.",H,CA,12,REP,OPEN,2008,male,0,7.5,republican,0
"MONICA, NICKIE",H,LA,3,REP,OPEN,2010,female,1,3.80952381,republican,0
"MONTANO, MARIA E",H,CA,36,REP,OPEN,2012,female,1,7.5,republican,0
"MONTOYA, LUIS",H,CA,33,REP,OPEN,2010,male,0,5,republican,0
